Folio interno,Nombre de la mascota ,Sexo,Tamaño,Grupo etario
45,Yancuic,Hembra,Mediano,Adulto
46,Yatzil,Hembra,Mediano,Adulto
47,Zazil,Hembra,Mediano,Adulto
48,Acatl,Macho,Mediano,Adulto
49,Ahuacatl,Hembra,Mediano,Adulto
50,Alotl,Macho,Mediano,Adulto
51,Ayotl,Macho,Mediano,Adulto
52,Cacalotl,Hembra,Mediano,Adulto
53,Calli,Hembra,Mediano,Adulto
54,Canauhtli,Hembra,Mediano,Geriatrico
55,Coatl,Hembra,Mediano,Adulto
56,Cochotl,Macho,Mediano,Geriatrico
57,Chimal,Hembra,Mediano,Geriatrico
58,Copalli,Macho,Mediano,Adulto
59,Huacalli,Hembra,Chico,Adulto
60,Huitzilin,Macho,Mediano,Geriatrico
61,Icnocuauhtli,Hembra,Mediano,Adulto
62,Icxo,Macho,Grande,Adulto
63,Itzcuintli,Hembra,Mediano,Adulto
64,Ixchel,Hembra,Mediano,Adulto
65,Ixtli,Hembra,Mediano,Adulto
66,Mayahuel,Hembra,Mediano,Geriatrico
67,Moyotl,Hembra,Chico,Adulto
68,Nalli,Hembra,Grande,Adulto
69,Necuametl,Macho,Grande,Adulto
70,Olin,Hembra,Mediano,Adulto
71,Ozomatli,Macho,Mediano,Adulto
72,Pachtli,Macho,Grande,Adulto
73,Pilli,Macho,Mediano,Adulto
74,Popoca,Hembra,Grande,Adulto
75,Quetzal,Macho,Mediano,Geriatrico
76,Quilitl,Hembra,Mediano,Adulto
77,Tecolotl,Hembra,Mediano,Adulto
78,Tecuani,Hembra,Chico,Geriatrico
79,Tenoch,Macho,Chico,Adulto
80,Teocalli,Hembra,Chico,Adulto
81,Tepetl,Macho,Mediano,Adulto
82,Tepoztli,Hembra,Chico,Geriatrico
83,Tlalantli,Hembra,Mediano,Adulto
84,Tlalocan,Macho,Chico,Geriatrico
85,Tototl,Hembra,Mediano,Adulto
86,Tzapotl,Macho,Chico,Geriatrico
87,Xalli,Hembra,Mediano,Adulto
88,Xical,Hembra,Mediano,Adulto
89,Xaloc,Macho,Grande,Geriatrico
90,Xictli,Macho,Grande,Adulto
91,Xiloxochitl,Macho,Mediano,Adulto
92,Xiuh,Macho,Chico,Adulto
93,Yohualli,Hembra,Mediano,Adulto
94,Xolotl,Macho,Chico,Adulto
95,Yolotl,Hembra,Chico,Adulto
96,Zacatl,Hembra,Chico,Adulto
